$>n	a matter
tDHkwn	laugh
tDl	[she] errs
tDlwA	you stray
tDlyl	astray
tDrEA	humbly
tDrEwA	they humbled themselves
tDrbwA	put forth
tDrwh	you can harm Him
tDrwnh	you will harm Him
tE*b	you punish
tE*bhm	torment them
tEAlwA	Come
tEAsrtm	you disagree
tEAwnwA	help one another
tEDlwhn	hinder them
tEZwn	(do) you preach
tEbd	worship
tEbdwA	worship
tEbdwn	worship
tEbrwn	interpret
tEbvwn	amusing yourselves
tEd	pass beyond
tEdl	it offers ransom
tEdlwA	deal justly
tEdnA	you promise us
tEdwA	you count
tEdwn	you count
tEfwA	pardon
tEjb	you (are) astonished
tEjbk	impress you
tEjbwn	you wonder
tEjl	hasten
tElY	High is
tElm	know
tElmhA	knowing it
tElmhm	you know them
tElmn	you teach me
tElmwA	knew
tElmwhm	you knew them
tElmwn	know
tElmwnhm	(do) you know them
tElmwnhn	you teach them
tElnwn	you reveal
tElwA	exalt yourselves
tEmY	(are) blinded
tEmdt	intended
tEml	doing
tEmlwn	do
tEqlwn	understand
tErD	you turn away
tErDn	you turn away
tErDwA	refrain
tErDwn	you will be exhibited
tErY	you will be unclothed
tErf	you will recognize
tErfhm	you recognize them
tErj	Ascend
tEt*rwA	make excuse
tEtdwA	transgress
tEtdwhA	transgress them
tEtdwnhA	(to) count concerning them
tEvwA	commit evil
tEwdwA	you return
tEwdwn	(so) will you return
tEwlwA	you oppress
tEzmwA	resolve (on)
tH$rwn	will be gathered
tH*rwn	you fear
tHAjwn	(do) you argue
tHAwrkmA	dialogue of both of you
tHDwn	you feel the urge
tHSnA	chastity
tHSnwn	you (will) store
tHSwh	you count it
tHSwhA	you could enumerate them
tHT	you encompass
tHY	You give life
tHbT	become worthless
tHbrwn	delighted
tHbswnhmA	Detain both of them
tHbwA	you love
tHbwn	love
tHbwnhA	that you love
tHbwnhm	you love them
tHdv	it will report
tHkm	will judge
tHkmwA	judge
tHkmwn	you judge
tHl	lawful
tHlp	dissolution
tHlqwA	shave
tHlwA	violate
tHml	lay
tHmlh	carrying him
tHmlnA	lay on us
tHmlwn	you are carried
tHnv	break (your) oath
tHrS	you desire
tHrk	move
tHrm	you prohibit
tHrmwA	make unlawful
tHrvwn	you sow
tHrwA	have sought
tHryr	freeing
tHs	you perceive
tHsb	do you think
tHsbhA	thinking them
tHsbhm	You think they
tHsbn	think
tHsbnhm	think (that) they
tHsbwh	think it
tHsdwnnA	you envy us
tHsnwA	you do good
tHswnhm	you were killing them
tHt	below
tHtY	underneath me
tHth	underneath it
tHthA	under them
tHthm	below them
tHtk	beneath you
tHwylA	any alteration
tHyTwA	you encompassed
tHyd	avoiding
tHyp	a greeting
tHythm	their greetings
tHywn	you will live
tHzn	grieve
tHznY	grieve
tHznwA	grieve
tHznwn	will grieve
tSEdwn	you were running uphill
tSEr	turn
tSHbnY	keep me as a companion
tSTlwn	warm yourselves
tSbHwn	you reach the morning
tSbhm	befalls them
tSbk	befalls you
tSbkm	strikes you
tSbr	you have patience
tSbrwA	be patient
tSdY	give attention
tSdq	gives charity
tSdqwA	you remit as charity
tSdqwn	you admit the truth
tSdwn	(do) you hinder
tSdwnA	hinder us
tSdyq	a confirmation
tSf	assert
tSfwn	you ascribe
tSl	you pray
tSlHwA	you reconcile
tSlY	They will burn
tSnEwn	you do
tSrf	You turn away
tSrfwn	are you turning away
tSwmwA	fast
tSybhm	struck them
tSybn	which will afflict
tSybnA	(may) strike us
tSybwA	you harm
tSyr	reach
tTE	obey
tTEh	obey him
tTEhmA	obey both of them
tTEmwn	you feed
tT_whA	you (had) trodden
tT_whm	you may trample them
tTgwA	transgress
tThrhm	purifying them
tThrn	they are purified
tThyrA	(with thorough) purification
tTlE	rising
tTm}n	find satisfaction
tTrd	send away
tTwE	volunteers
tTyEwA	obey
tTyEwh	you obey him
tTyrnA	[we] see an evil omen
tZhrA	supporting each other
tZhrwn	you are at noon
tZlm	did wrong
tZlmwA	wrong
tZlmwn	wrong
tZm&A	will suffer from thirst
tZn	Thinking
t_wyh	sheltered him
tb$rwhn	have relations with them
tb$rwn	you give glad tidings
tb*r	spend
tb*yrA	wastefully
tbAb	ruin
tbArA	(in) destruction
tbArk	blessed
tbAyEtm	you make commercial transaction
tbE	follows
tbEA	followers
tbEk	follow you
tbEnY	follows me
tbEvwn	will be resurrected
tbEwA	they would follow
tbSrp	Giving insight
tbSrwn	see
tbTlwA	make vain
tbd	made clear
tbdl	exchange
tbdwA	you reveal
tbdwh	you disclose it
tbdwn	you reveal
tbdwnhA	you disclose (some of) it
tbdyl	change
tbdylA	any change
tbg	seek
tbgY	oppresses
tbgwA	seek
tbgwnhA	seeking (to make) it
tbkwn	weep
tblY	will be tested
tblg	reach
tblwA	will be put to trial
tbqY	it lets remain
tbr'wA	they disown
tbr>	will disown
tbr>nA	We declare our innocence
tbrj	(as was the) display
tbrjn	display yourselves
tbrk	Blessed is
tbrnA	We destroyed
tbrwA	you do good
tbrwhm	you deal kindly
tbsThA	extend it
tbsl	is given up to destruction
tbt	repent
tbtgY	seek
tbtgwA	you seek
tbtgwn	seeking
tbtm	you repent
tbtylA	(with) devotion
tbt}s	grieve
tbw'A	Settle
tbw'w	settled
tbw>	you be laden
tbwr	it will perish
tbw}	to post
tbxlwA	you will withhold
tbxswA	deprive
tbyD	would become white
tbyEA	an avenger
tbyd	will perish
tbyn	became clear
tbynA	(as) a clarification
tbynt	became clear
tdAyntm	you contract with one another
tdE	calls
tdEY	will be called
tdEhm	you call them
tdEwA	call
tdEwhm	you call them
tdEwn	call
tdEwnA	you call us
tdEwnh	you call Him
tdEwnnA	you invite us
tdEwnnY	You call me
tdhn	you should compromise
tdmr	Destroying
tdmyrA	(with) destruction
tdrY	know
tdrk	it overtakes
tdrkh	grasp Him
tdrswn	you learn
tdrwn	you know
tdwr	revolving
tdxl	You admit
tdxlwA	enter
tdxlwhA	enter it
tdxrwn	you store
tdyrwnhA	you carry out
tf$lA	they lost heart
tfDHwn	shame me
tfDylA	(in) excellence
tfEl	you do
tfElwA	you do
tfElwh	you do it
tfElwn	you do
tfSylA	(in) detail
tfY'	it returns
tfdwhm	you ransom them
tfjr	you cause to gush forth
tfjyrA	abundantly
tfkhwn	wondering
tflHwA	will you succeed
tflHwn	succeed
tfndwn	you think me weakened in mind
tfqdwn	you miss
tfqhwn	you understand
tfrDwA	you specified
tfrH	exult
tfrHwA	exult
tfrHwn	rejoice
tfrq	became divided
tfrqwA	be divided
tfrwn	you flee
tfsHwA	Make room
tfsdwA	cause corruption
tfsqwn	defiantly disobedient
tfsyrA	explanation
tft&A	you will not cease
tftH	be opened
tftnY	put me to trial
tftnwn	being tested
tftrwA	invent
tftrwn	invent
tfvhm	their prescribed duties
tfwr	boils up
tfwt	fault
tfyD	flowing
tfyDwn	you utter
tg$YhA	he covers her
tgflwn	you neglect
tgfr	You forgive
tglbwn	overcome
tglwA	exceed
tgmDwA	(with) close(d) eyes
tgn	availed
tgnY	will avail
tgrb	setting
tgrnkm	deceive you
tgtslwA	you have bathed
tgyD	fall short
tgyZA	raging
thdY	guide
thdwA	you guide
thjrwn	speaking evil
thnwA	weaken
thtdwA	you will be guided
thtdwn	be guided
thtz	moving
thwY	desire
tjEl	put
tjElnA	make us
tjElnY	place me
tjElwA	make
tjElwnh	You make it
tj_rwA	cry for help
tj_rwn	you cry for help
tjd	will find
tjdl	argue
tjdlk	disputes with you
tjdlwA	argue
tjdwA	you find
tjdwh	you will find it
tjhlwn	ignorant
tjhr	be loud
tjhrwA	be loud
tjlY	revealed (His) Glory
tjmEwA	you gather together
tjrY	flow
tjrmwn	crimes you commit
tjrp	trade
tjrthm	their commerce
tjryAn	flowing
tjsswA	spy
tjtnbwA	you avoid
tjwE	you will be hungry
tjzY	avail
tjzwn	you recompensed
tk	be
tk*bAn	will you both deny
tk*bwA	you deny
tk*bwn	deny
tk*yb	denial
tkAd	Almost
tkbyrA	(with all) magnificence
tkfr	disbelieve
tkfrwA	you disbelieve
tkfrwn	you deny
tklf	is burdened
tklm	you spoke
tklmhm	speaking to them
tklmwn	speak to Me
tklymA	(in a) conversation
tkn	be
tknzwn	hoard
tkrh	compel
tkrhwA	compel
tkrmwn	you honor
tksb	earns
tksbwn	earn
tktbwh	you write it
tktbwhA	you write it
tktmwA	conceal
tktmwn	conceal
tktmwnh	conceal it
tkwn	be
tkwnA	you two become
tkwnn	be
tkwnwA	be
tlAwth	(of) its recitation
tlYhA	it follows it
tlZY	blazing
tlbswA	mix
tlbswn	do you mix
tlbswnhA	you wear them
tlbvwA	they (would) have hesitated
tlfH	Will burn
tlhY	(are) distracted
tlhkm	divert you
tlhyhm	distracts them
tlmzwA	insult
tlqA'	towards
tlqA}	my own accord
tlqY	you throw
tlqf	swallowed
tlqwA	throw (yourselves)
tlqwh	you met it
tlqwn	offering
tlqwnh	you received it
tlwA	you distort
tlwmwnY	blame me
tlwn	casting a glance
tlwth	I (would) have recited it
tlyn	relax
tlyt	are recited
tm$	walk
tm$Y	walking
tm$wn	you will walk
tmAmA	completing (Our Favor)
tmAr	argue
tmdn	extend
tmhydA	ease
tmkrwn	you plot
tmlY	are dictated
tmlk	will have power
tmlkhm	ruling them
tmlkwn	possess
tmnEhm	(to) defend them
tmnY	he wishes
tmnhA	with which you reproach
tmnn	confer favor
tmnwA	(had) wished
tmnwn	wish
tmr	will pass
tmrHwn	be insolent
tmskwA	hold
tmskwhn	retain them
tmsnA	will touch us
tmssh	touched it
tmsskm	touches you
tmswhA	touch her
tmswhn	you have touched
tmswn	you reach the evening
tmt	die
tmtE	Enjoy
tmtEwA	Enjoy
tmtEwn	you will be allowed to enjoy
tmtrn	(be) doubtful
tmtrwn	doubt
tmwr	sways
tmwt	he dies
tmwtn	die
tmwtwn	you will die
tmyd	it should shake
tmylwA	incline
tmyz	bursts
tn*r	you can warn
tn*rhm	warn them
tnASrwn	you help one another
tnAbzwA	call each other
tnAlh	can reach it
tnAlwA	will you attain
tnHtwn	you carve
tnSrwA	you help
tnSrwh	you help him
tnSrwn	will be helped
tnTqwn	speak
tnZrwn	look on
tnb_wnh	(do) you inform Him
tnbt	grows
tnbtwA	you cause to grow
tnb}hm	informing them
tnf*wA	pass beyond
tnf*wn	you (can) pass
tnfE	benefits
tnfEhA	will benefit it
tnfEhm	will benefit them
tnfEkm	will benefit you
tnfd	(were) exhausted
tnfqwA	spend
tnfqwn	you spend
tnfrwA	go forth
tnfs	it breathes
tnhY	prevents
tnhr	repel
tnhrhmA	repel them
tnhwn	you are forbidden
tnjykm	(that) will save you
tnjytm	you hold secret counsel
tnkH	she marries
tnkHwA	marry
tnkHwhn	marry them
tnkSwn	turn back
tnkrwn	will you deny
tnkylA	(in) punishment
tnq*	save
tnqDwA	break
tnqS	diminishes
tnqSwA	decrease
tnqm	you take revenge
tnqmwn	you resent
tns	forget
tnsY	you will forget
tnswA	forget
tnt$rwn	dispersing
tntSrAn	you will (be able to) defend yourselves
tnth	you desist
tnthwA	you desist
tnyA	slacken
tnzE	Plucking out
tnzEtm	you disagree
tnzEwA	dispute
tnzl	descend
tnzlt	have brought it down
tnzyl	A revelation
tnzylA	descending
tq	you protect
tq$Er	Shiver
tqAsmwA	Swear to each other
tqAth	(that) He (should) be feared
tqDY	you can decree
tqE	it falls
tqEd	sit
tqEdwA	sit
tqSS	relate
tqSrwA	you shorten
tqTE	be cut off
tqYp	(as) a precaution
tqbl	Accept
tqblwA	accept
tqdm	preceded
tqdmwA	offer
tqdrwA	you overpower
tqdyr	(is the) Decree
tqdyrA	measure
tqf	pursue
tqhr	oppress
tql	say
tqlb	turning
tqlbhm	their movement
tqlbwn	you will be returned
tqm	stand
tqnTwA	despair
tqr	may be cooled
tqrDhm	passing away from them
tqrDwA	you loan
tqrbA	[you two] approach
tqrbkm	will bring you close
tqrbwA	go near
tqrbwhA	approach them
tqrbwhn	approach them
tqrbwn	you will come near me
tqsTwA	you will be able to do justice
tqsmwA	swear
tqtl	fighting
tqtlnY	kill me
tqtlwA	kill
tqtlwh	kill him
tqtlwhm	fight them
tqtlwn	you fight
tqtlwnhm	you will fight them
tqtylA	and massacred completely
tqwY	piety
tqwYhm	their righteousness
tqwl	you say
tqwlh	He has made it up
tqwln	say
tqwlwA	say
tqwlwn	say
tqwm	stand
tqwmwA	stand
tqwym	mould
tqyA	righteous
tqykm	to protect you
tqymwA	you stand firmly
tr	see
tr'A	saw each other
trA't	came in sight
trAD	mutual consent
trAb	dust
trAbA	dust
trDY	be satisfied
trDYh	which please You
trDYhA	you will be pleased with
trDwA	they agree
trDwn	you agree
trDwnhA	you delight (in) it
trDytm	you mutually agree
trHmwn	receive mercy
trY	see
trYhm	You see them
trYnY	you (can) see Me
trbA	dust
trbS	(is a) waiting (of)
trbSwA	Wait
trbSwn	you await
trd	will be refuted
trdY	he falls
trdn	desire
trdwn	you will be sent back
trfE	they be raised
trfEwA	raise
trhbwn	(to) terrify
trhqhA	Will cover them
trhqhm	will cover them
trhqnY	be hard (upon) me
trjE	return
trjEwhn	return them
trjEwn	will be returned
trjEwnhA	Bring it back
trjY	You may defer
trjf	will quake
trjmwn	you stone me
trjwA	expecting
trjwhA	which you expect
trjwn	you attribute
trk	he left
trkDwA	Flee not
trkbwn	you ride
trkn	they left
trknA	We have left
trknhA	We left it
trknwA	incline
trkt	[I] abandon
trktm	you left
trktmwhA	you left them
trkwA	they left
trmY	throws up
trmyhm	Striking them
trn	you see me
trqY	you ascend
trqb	you respect
trtAbwA	you (have) doubt
trtdwA	turn
trtylA	(with distinct) recitation
trvwA	you inherit
trwA	you see
trwd	(is) seeking to seduce
trwhA	you (could) see them
trwn	you see
trwnhA	that you see
trwnhm	you see them
tryHwn	you bring them in
tryd	desiring
trydwn	you wish
tryn	you see
trynY	You should show me
trzqAnh	you are provided with
ts&hm	it grieves them
ts&km	it may distress you
tsA'lwn	you ask
tsE	nine
tsEA	nine
tsEY	it strives
tsEp	nine
tsHrwn	are you deluded
tsTE	you were able
ts_l	you will be asked
ts_lhm	you ask them
ts_ln	ask Me
ts_lnY	ask me
ts_lwA	ask
ts_lwn	be questioned
ts_mwA	(be) weary
tsbH	Glorify
tsbHwn	you glorify (Allah)?-
tsbq	can precede
tsbwA	insult
tsbyHhm	their glorification
tsfkwn	will you shed
tsjd	you prostrate
tsjdwA	prostrate
tskn	have been inhabited
tsknwn	(for) you (to) rest
tslmwn	submit
tslymA	(with) greetings
tsmE	hear
tsmEwA	listen
tsmEwn	hear
tsmY	named
tsmyp	name(s)
tsnym	Tasneem
tsqT	falls
tsqY	water
tsr	pleasing
tsrHwn	you take them out
tsrfwA	be extravagant
tsrwn	you conceal
tsryH	to release (her)
tst>nswA	you have asked permission
tstEjl	seek to hasten
tstEjlwh	(be) impatient for it
tstEjlwn	ask Me to hasten
tstTE	you were able
tstTyE	will be able
tstTyEwA	will you be able
tstTyEwn	you are able
tst_xrwn	you can postpone
tstft	inquire
tstftHwA	you ask for victory
tstftyAn	you both inquire
tstgfr	ask forgiveness
tstgfrwn	you ask forgiveness
tstgyvwn	you were seeking help
tsthz'wn	mocking
tstkbrwn	arrogant
tstkvr	(to) acquire more
tstmEwn	you hear
tstqdmwn	(can) you precede (it)
tstqsmwA	you seek division
tstrDEwA	ask another women to suckle
tsttrwn	covering yourselves
tstwY	equal
tstxfwnhA	which you find light
tswY	was leveled
tswrwA	they climbed over the wall
tsxrwA	you ridicule
tsxrwn	you ridicule
tsymwn	you pasture your cattle
tt*krwn	you take heed
ttbE	follow
ttbEAn	follow
ttbEhA	Follows it
ttbEn	you follow me
ttbEwA	follow
ttbEwn	you follow
ttbEwnA	will you follow us
ttbdlwA	exchange
ttbyb	ruin
ttbyrA	(with) destruction
ttfkrwA	reflect
ttfkrwn	ponder
ttfrqwA	be divided
ttjAfY	Forsake
ttkbr	you be arrogant
ttlY	recited
ttlwA	recite
ttlwn	[you] recite
ttmArY	will you doubt
ttmnwA	covet
ttnjwA	hold secret counsel
ttnzl	will descend
ttqlb	will turn about
ttqwA	you fear
ttqwn	you fear
ttrA	(in) succession
ttrkh	if you leave him
ttrkwA	you would be left
ttwbA	you both turn
ttwfYhm	take them in death
ttwlwA	turn away
ttx*	you take
ttx*wA	take
ttx*wn	You take
tvbytA	strengthen(ing)
tvqfnhm	you gain dominance over them
tvryb	blame
tvyr	to plough
twAEdtm	you (had) made an appointment
twAEdwhn	promise them (widows)
twAb	(is) Oft-Returning
twAbA	Oft-Forgiving
twArt	they were hidden
twEZwn	you are admonished
twEdwn	promised
twSwn	you have made
twSyp	(to) make a will
twbp	(in) repentance
twbthm	their repentance
twbwA	Turn
twd	it will wish
twfY	is repaid in full
twfYhm	take them (in death)
twfnY	Cause me to die
twfth	take him
twfthm	take them in death
twfwn	you will be paid in full
twfyqY	(is) my success
twfytnY	You raised me
twjh	he turned his face
twjl	be afraid
twklnA	we put our trust
twklt	I trust
twklwA	put your trust
twkydhA	their confirmation
twl	turn away
twlAh	befriends him
twlY	turns away
twlj	You cause to enter
twlwA	you turn
twlwhm	turn to them
twlwn	you will turn back
twlytm	you turn away
twqdwn	ignite
twqnwn	believe with certainty
twrwn	you ignite
twsws	whispers
tx$E	become humble
tx$Y	being afraid
tx$Yh	you (should) fear Him
tx$wA	fear
tx$wh	you should fear Him
tx$whm	fear them
tx$wn	you fear
txASm	quarreling
txAfA	fear
txAfY	fear
txAfn	you fear
txAft	be silent
txAfwA	fear
txAfwhm	fear them
txAfwn	fearing
txAfwnhm	you fear them
txAlTwhm	you associate with them
txDEn	be soft
txTbnY	address Me
txTh	(did) you write it
txf	fear
txfY	conceal
txfwA	you conceal
txfwh	conceal it
txfwhA	you keep it secret
txfwn	conceal
txfyf	a concession
txldwn	live forever
txlf	break
txlfh	you will fail to (keep) it
txlq	you make
txlqwnh	who create it
txrSwn	guess
txrj	comes out
txrjwA	will you come out
txrjwhn	expel them
txrjwn	(will) evict
txrq	tear
txsrwA	make deficient
txsyr	(in) loss
txtAnwn	deceive
txtSmwA	dispute
txtSmwn	will dispute
txtlfwn	differ
txwf	a gradual wasting
txwnwA	betray
txwyfA	(as) a warning
txyrwn	you choose
txznA	disgrace us
txznY	disgrace me
txzwn	disgrace me
tymmwA	aim (at)
tysr	is easy
tzAl	will you cease
tzEmwn	claim
tzd	increase
tzdAd	they exceed
tzdrY	look down upon
tzg	deviate
tzkY	purify yourself
tzkwA	ascribe purity
tzr	bears
tzrEwn	You will sow
tzrEwnh	cause it to grow
tzwlA	they cease
tzwr	inclining away
tzydwnnY	you would increase me
tzylwA	they had been apart
t{llh	By Allah
t}bt	repentant
vAbt	(is) firm
vAlv	(is the) third
vAnY	Twisting
vAqb	piercing
vAwyA	a dweller
vEbAn	(was) a serpent
vbAt	(in) groups
vbtnk	We (had) strengthened you
vbwrA	(for) destruction
vbwthA	it is firmly planted
vjAjA	pouring abundantly
vlp	A company
vlv	three
vlvA	two thirds
vlvY	two-thirds
vlvp	Three
vlvwn	(is) thirty
vlvyn	thirty
vmnA	a gain
vmnY	(for) eight
vmnyn	(with) eighty
vmnyp	Eight
vmr	fruit
vmrh	its fruit
vmrp	fruit
vmrt	fruits
vmwd	Thamud
vmwdA	Thamud
vqAlA	heavy
vqftmwhm	you find them
vqfwA	they are found
vqlt	(are) heavy
vqylA	heavy
vwAb	reward
vwAbA	a reward
vwb	been rewarded
vyAb	garments
vyAbA	garments
vyAbhm	(with) their garments
vyAbhn	their (outer) garments
vyAbkm	your garments
vybt	previously married
w$Ahd	And witness
w$AqwA	and oppose
w$Arkhm	and be a partner
w$Awrhm	and consult them
w$Y'	and (some)thing
w$ddnA	And We strengthened
w$fA'	and a healing
w$ftyn	and two lips
w$hbA	and flaming fires
w$hd	And testified
w$hdwA	and (had) witnessed
w$hyd	and a witness
w$hyq	and wailing
w$jrp	And a tree
w$mAl	and (on the) left
w$qAq	and opposition
w$rAb	and drink
w$rAbk	and your drink
w$rkA&km	and your partners
w$rkA'km	and your partners
w$rwh	And they sold him
w$ybp	and gray hair
w'AbA&km	and your forefathers
w'AbA&nA	and our forefathers
w'AbA'hm	and their fathers
w'Al	and family
w'Alhtk	and your gods
w'Amn	and believed
w'Amnhm	and gives them security
w'Amntm	and you believe
w'AmnwA	And believe
w'At	And give
w'AtY	and give
w'AtYh	and gave him
w'AtYhm	and gives them
w'AtYkm	and He gave you
w'AtYnY	and He has given me
w'AtnA	grant us
w'Att	and she gave
w'AtwA	and give
w'Atwhm	and give them
w'Atwhn	and give them
w'Atyn	and give
w'AtynA	And We gave
w'Atynh	and We gave him
w'Atynhm	And We gave them
w'AtynhmA	And We gave both of them
w'Atytm	and give
w'AvArA	and impressions
w'Avr	And preferred
w'Avrhm	and their footprints
w'AwynhmA	and We sheltered them
w'Axr	And other
w'AxrnA	and last of us
w'Axrwn	And others
w'Axryn	and others
w'Ayp	and a sign
w'Ayth	and His Verses
w*kr	But remind
w*krA	and a Reminder
w*krY	and a reminder
w*krhm	And remind them
w*krwA	and remember
w*llnhA	And We have tamed them
w*llt	and will hang low
w*lp	and humiliation
w*r	And leave
w*rnY	And leave Me
w*rwA	Forsake
w*ryp	and offspring
w*ryth	and his offspring
w*rythA	and her offspring
w*rythm	and their offspring
w*rytnA	and our offspring
w*wqwA	Taste
w<brhym	And Ibrahim
w<dbr	and after
w<drys	and Idris
w<lh	and the god
w<lhkm	And your God
w<lyAs	and Elijah
w<mA}km	and your female slaves
w<nvA	and females
w<qAm	and establishment
w<rSAdA	and (as) a station
w<sHq	and Isaac
w<smEyl	and Ishmael
w<sr'yl	and Israel
w<srAfnA	and our excesses
w<vmA	and sin
w<vmhmA	But sin of both of them
w<vmk	and your sin
w<xrAj	and driving out
w<xwn	and brothers
w<xwnhm	and their brothers
w<xwnkm	and your brothers
w<xwth	and his brothers
w<ytA'	and giving
w<ytA}	and giving
w>$EArhA	and their hair
w>$d	and stronger
w>$fqn	and they feared
w>$hdhm	and made them testify
w>$hdwA	And take witness
w>$rbwA	And they were made to drink
w>$rk	and (to) associate
w>$rkh	And make him share
w>$rqt	And (will) shine
w>*n	And proclaim
w>*nt	And has listened
w>DEf	and weaker
w>Dl	And led astray
w>Dlh	and Allah lets him go astray
w>Dlhm	and has led them astray
w>DlwA	and they misled
w>EAnh	and helped him
w>ETY	And gave
w>EZm	and greater
w>Ed	and prepared
w>EdwA	And prepare
w>Elm	and I know
w>EmY	and blinded
w>EnAb	and grapevines
w>Enb	and grapevines
w>EnbA	and grapevines
w>ErD	and avoided
w>EtdnA	And We have prepared
w>Etdt	and she prepared
w>Etzlkm	And I will leave you
w>Ew*	And I seek refuge
w>Eynhm	with their eyes
w>Ez	and stronger
w>HAT	and He has encompassed
w>HDrt	And are swayed
w>HSY	and He takes account
w>HSwA	and keep count
w>HTt	and surrounded him
w>HY	and I give life
w>Hb&h	and His beloved
w>Hl	And are lawful
w>Hlt	And are made lawful
w>HlwA	and they led
w>Hsn	and best
w>HsnwA	And do good
w>HyA	and gives life
w>HyT	And were surrounded
w>HyynA	and We give life
w>HyytnA	and You gave us life
w>SAbh	and strikes him
w>SHb	and people
w>SbH	And began
w>SfYkm	and He has chosen (for) you
w>SlH	and reforms
w>SlHA	and correct themselves
w>SlHnA	and We cured
w>SlHwA	and reform
w>SrwA	and persisted
w>SylA	and evening
w>TEmwA	and feed
w>TEn	and obey
w>TEnA	and obeyed
w>TgY	and more rebellious
w>Thr	and purer
w>TrAf	(at the) ends
w>TyEwA	So obey
w>TyEwn	and obey me
w>Zhrh	and made it apparent
w>b$rwA	but receive the glad tidings
w>bA	and grass
w>bSr	And see
w>bSrA	and vision
w>bSrhm	And see them
w>bSrkm	and your sight
w>bY	and refused
w>bkArA	and virgins
w>bkY	and makes (one) weep
w>blgkm	and I convey to you
w>bnA&km	and your sons
w>bnA'km	and your sons
w>bnA}nA	and our children
w>bqY	and everlasting
w>br}	And I cure
w>bwnA	and our father
w>byh	and his father
w>dA'	[and] payment
w>dEwA	and I will invoke
w>dbr	and after
w>dbrhm	and their backs
w>dnY	and nearer
w>dxl	And enter
w>dxlhm	And admit them
w>dxlnA	and admit us
w>dxlnY	And admit me
w>dxlnh	And We admitted him
w>dxlnhm	And We admitted them
w>f_dp	and hearts
w>f_dthm	and their hearts
w>fwD	and I entrust
w>gT$	And He darkened
w>gllA	and shackles
w>grqnA	and We drowned
w>h$	and I bring down leaves
w>hdyk	And I will guide you
w>hl	and worthy
w>hlY	and my family
w>hlh	and his family
w>hlhA	while its people
w>hlk	and your family
w>hlknA	and We destroyed
w>hlnA	and our family
w>hlwnA	and our families
w>hlyhm	and their families
w>hlykm	and your families
w>jdr	and more likely
w>jl	and a term
w>jlb	and assault
w>jmEwA	and agreed
w>jr	and a reward
w>jrA	and a reward
w>kbr	and greater
w>kdY	and withheld
w>klhm	and eating
w>kn	and be
w>kvr	and greater
w>kvrhm	but most of them
w>kwAb	and cups
w>kyd	But I am planning
w>lHqnY	and join me
w>lf	And He (has) put affection
w>lfyA	and they both found
w>lnA	And We made pliable
w>lq	And throw
w>lqY	and has cast
w>lqt	And has cast out
w>lqwA	and offer
w>lqwh	but throw him
w>lqynA	and cast
w>lqyt	And I cast
w>lsnthm	and their tongues
w>lwnkm	and your colors
w>lzmhm	and made them adhere
w>mTrnA	and We rained
w>mY	and my mother
w>mddnhm	And We will provide them
w>mddnkm	And We reinforced you
w>mh	and his mother
w>mht	and mothers
w>mhtkm	and mothers
w>mlY	and prolonged hope
w>mm	But (to other) nations
w>mnA	and (a place of) security
w>mr	and order
w>mrh	and his case
w>mrhm	and their affairs
w>mrnA	and we have been commanded
w>mrt	And I am commanded
w>mrwA	and they enjoin
w>mtEtkm	and your baggage
w>mwl	and wealth
w>mwlA	and wealth
w>mwlhm	and their wealth
w>mwtA	and dead
w>myt	and cause death
w>n$>nA	and We raised
w>n*r	And warn
w>n*rhm	And warn them
w>nAb	and turned in repentance
w>nAbwA	and turn
w>nAsY	and men
w>nEm	And cattle
w>nEmt	and you bestowed favor
w>nSH	and [I] advise
w>nStwA	and pay attention
w>nY	But how
w>nbthA	and reared her
w>nbtnA	and We made to grow
w>nbtt	and grows
w>nb}km	And I inform you
w>nfqwA	And spend
w>nfshm	and themselves
w>nfskm	and yourselves
w>nfsnA	and ourselves
w>nhr	and rivers
w>nhrA	and rivers
w>njynA	And We saved
w>nkHwA	And marry
w>nvY	and a female
w>nybwA	And turn
w>nzl	and sent down
w>nzlnA	And We revealed
w>qAm	and establishes
w>qAmwA	and establish
w>qbl	And will approach
w>qblwA	turning towards
w>ql	and fewer
w>qm	And establish
w>qmn	And establish
w>qnY	and suffices
w>qrDtm	and you loan
w>qrDwA	and loan
w>qrb	and nearer
w>qsTwA	and act justly
w>qsmwA	And they swear
w>qwm	and more upright
w>qymwA	and set
w>rAdwA	And they intended
w>rD	and the earth
w>rDA	and a land
w>rY	and I see
w>rjlhm	and their feet
w>rjlhn	and their feet
w>rjlkm	and your feet
w>rnA	And show us
w>rsl	and send
w>rslnA	and We sent
w>rslnh	And We sent him
w>rslnk	And We have sent you
w>sbg	and amply bestowed
w>slHthm	and their arms
w>slmt	and I submit
w>slmwA	and submit
w>slnA	and We caused to flow
w>smE	And how clearly He hears
w>sqynkm	and We gave you to drink
w>srHkn	and release you
w>srrt	and I confided
w>srwA	And conceal
w>srwh	And they hid him
w>syrA	and captive
w>tYhm	and came to them
w>tbEnhm	And We caused to follow them
w>tbEwA	And they were followed
w>tmmnhA	and We completed them
w>tmmt	and I have completed
w>tmrwA	and consult
w>tmwA	And complete
w>trfnhm	while We had given them luxury
w>twA	And come
w>twnY	but come to me
w>tynk	And we have come to you
w>vArwA	and they dug
w>vbhm	and rewarded them
w>vl	and tamarisks
w>vqAlA	and burdens
