$>n	durumda
tZhrwn	birleşiyorsunuz
tZlm	eksik etmemişti
tZlmwA	zulmetmeyin
tZlmwn	ne haksızlık edersiniz
tZm&A	susamayacaksın
tZn	anlar
tb$rwhn	(kadınlara) yaklaşmayın
tb*r	saçıp savurma
tbArk	yücedir
tbAyEtm	alışveriş yaptığınız
tbE	uyan
tbEA	tabi
tbEk	sana uyan
tbEnY	bana uyarsa
tbEwA	uyacak
tbSrp	basirettir
tbTlwA	boşa çıkarmayın
tbd	açıklanır
tbdl	değiştirmen
tbdwA	açıklasanız da
tbdwh	açığa vursanız onu
tbdwn	açığa vurduğunuz
tbdwnhA	gösteriyorsunuz
tbdyl	değişme
tbdylA	bir değişme
tbg	isteme
tbgY	saldıran tarafla
tbgwA	artık aramayın
tbgwnhA	göstermeğe yeltenerek
tblY	yoklanacağı
tblg	erişemezsin
tblwA	hesabını verir
tbqY	geriye bir şey komaz
tbr'wA	uzak durdukları
tbr>	uzak durdu
tbr>nA	uzak olduğumuzu
tbrj	açılıp kırıtması gibi
tbrjn	açılıp kırıtmayın
tbrk	ne yücedir
tbrnA	helak ettik
tbrwA	iyilik etmenize
tbrwhm	iyilik etmekten
tbsThA	açma
tbsl	helake gider
tbt	kurusun
tbtgY	ara ki
tbtgwA	istemeniz
tbtgwn	gözeterek
tbtm	tevbe ederseniz
tbt}s	üzülme
tbw'A	hazırlayın
tbw'w	yerleşen(ler)
tbw>	sen yüklenip
tbw}	ayrılmıştın
tbxlwA	cimrilik ederdiniz
tbxswA	kısmayın
tbyD	ağarır
tbyd	yok olacağını
tbyn	belli olunca
tbynA	açıklayan
tbynt	anlaşıldı ki
tdAyntm	birbirinize verdiğiniz
tdE	tapma
tdEY	çağırılır
tdEhm	onları çağırsan da
tdEwA	çağırır
tdEwhm	onları çağırsanız
tdEwn	yalvarmış
tdEwnA	bizi çağırdığın
tdEwnh	O'na yakardığınızda
tdEwnnA	bizi çağırdığınız
tdEwnnY	siz beni çağırıyorsunuz
tdhn	sen yağcılık yapasın
tdmr	yıkar mahveder
tdrY	bilmez
tdrk	erişmesi
tdrkh	O'nu görmez
tdrwn	bilmezsiniz
tdwr	dönerek
tdxl	sokarsan
tdxlwA	girmeyin
tdxlwhA	oraya girmeyin
tdxrwn	biriktirdiğinizi
tdyrwnhA	hemen alıp vereceğiniz
tf$lA	korkup bozulmaya
tfEl	bunu yapmazsan
tfElwA	yapmanız
tfElwh	eğer bunu yapmazsanız
tfY'	dönünceye
tfdwhm	fidyelerini veriyorsunuz
tfjr	fışkırtıncaya
tflHwA	iflah olamazsınız
tfqhwn	siz anlamazsınız
tfrDwA	belirlemeden
tfrH	şımarma
tfrHwA	şımarmamanız (için)
tfrHwn	şımarmanızdan
tfrq	ayrılığa düşmediler
tfrqwA	bölünüp
tfrwn	sizin kaçtığınız
tfsHwA	yer açın
tfsdwA	bozgunculuk
tft&A	sen hâlâ
tftH	açılmayacak
tftnY	beni fitneye düşürme
tftrwA	uydurmayın
tfvhm	kirlerini
tfwt	aykırılık, uygunsuzluk
tfyD	akarak
tfyDwn	siz daldığınız
tg$YhA	eşini sarıp örtünce
tgflwn	siz gaflet etseniz de
tgfr	bağışlarsan
tglwA	taşkınlık etmeyin
tgmDwA	göz yummadan
tgn	sağlamaz
tgnY	koruyamaz
tgrb	batarken
tgrnkm	sizi aldatmasın
tgtslwA	yıkanıncaya
tgyD	eksilttiğini
tgyZA	öfkesini
thdY	yola ileteceksin
thdwA	doğru yola iletmek
thnwA	gevşemeyin
thtdwA	doğru yolu bulasınız
thtz	titreştiğini
thwY	hevesine
tjEl	yapma
tjElnA	bizi kılma
tjElnY	beni tutma
tjElwA	vermek
tjElwnh	siz onu haline getirip
tj_rwA	artık feryadetmeyin
tjd	bulacaktır
tjdl	savunma
tjdlk	seninle tartışan
tjdlwA	tartışmayın
tjdwA	bulamazsanız
tjdwh	bulursunuz
tjhr	pek bağırma
tjhrwA	yüksek sesle konuşmayın
tjlY	görününce
tjmEwA	ve almanız
tjrY	akan
tjrp	ticaret
tjrthm	ticaretleri
tjsswA	merak etmeyin
tjtnbwA	kaçınırsanız
tjwE	acıkmak
tjzY	cezalanır
tjzwn	cezalandırılıyor
tk	sen
tk*bwA	yalanlarsanız
tk*bwn	siz yalanlıyorsunuz
tkAd	neredeyse
tkfr	sakın küfre girmeyin
tkfrwA	inkar ederseniz
tkfrwn	inkar edersiniz
tklf	yükümlü tutulmaz
tklm	konuşamaz
tklmhm	o onlara söyler
tkn	olma
tkrh	zorlayacaksın
tkrhwA	zorlamayın
tkrmwn	siz ikram etmiyorsunuz
tksb	kazanmaz
tktbwh	yazmaktan
tktbwhA	onu yazmamanızdan
tktmwA	gizlemeyin
tktmwnh	gizlemeyeceksiniz
tkwn	olan
tkwnA	olursunuz
tkwnn	olma
tkwnwA	siz
tlAwth	okuyuşla
tlbswA	ve katıştırmayın
tlbswn	karıştırıyorsunuz
tlbswnhA	takındığınız
tlbvwA	gecikmezlerdi
tlfH	yalar
tlhkm	sizi alıkoymasın
tlhyhm	kendilerini alıkoymaz
tlmzwA	kusur aramayın
tlqA'	tarafına
tlqA}	tarafımdan
tlqY	sen at
tlqf	yutsun
tlqwA	kendinizi atmayın
tlqwh	onunla karşılaşmadan
tlqwn	siz iletiyorsunuz
tlqwnh	siz onu alıveriyorsunuz
tlwA	eğip bükerseniz
tlwmwnY	beni kınamayın
tlwn	dönüp bakmıyordunuz
tlwth	bunu okumazdım
tlyn	yumuşar
tlyt	okunduğu
tm$	yürüme
tm$Y	gidiyordu
tm$wn	yürüyeceğiniz
tmAmA	(ni'metimizi) tamamlamak için
tmAr	münakaşaya girme
tmdn	dikme
tmlY	yazdırılıyor
tmlk	malik olmadığı
tmlkhm	onlara hükümdarlık eden
tmlkwn	sahip olsaydınız
tmnEhm	onları koruyacak
tmnY	temenni ettiği
tmnhA	kaktığın
tmnn	başa kakma
tmnwA	ve isteyenler
tmnwn	arzuluyordunuz
tmr	yürümektedir
tmskwA	tutmayın
tmskwhn	onları (yanınızda) tutmayın
tmsnA	bize dokunmayacak
tmssh	değmese (bile)
tmsskm	size dokunsa
tmswhA	ona dokundurmayın
tmswhn	henüz dokunmadan
tmswn	akşama girdiğiniz
tmt	ölmeyen(leri)
tmtE	yaşa
tmtEwA	yaşayın
tmtEwn	yaşatılmazsınız
tmtrn	şüphe etmeyin
tmwr	çalkanır
tmwt	ölmek
tmwtn	ölmeyin
tmwtwn	öleceksiniz
tmyd	sarsar
tmylwA	sizin düşmenizi
tmyz	çatlayacak
tn*r	uyarırsın
tn*rhm	uyarmasan da
tnAbzwA	birbirinizi çağırmayın
tnAlh	erişeceği
tnAlwA	eremezsiniz
tnSrwA	siz yardım ederseniz
tnSrwh	siz ona yardım etmezseniz
tnb_wnh	siz haber mi veriyorsunuz?
tnbt	biten
tnbtwA	bitirmeniz
tnb}hm	haber verecek
tnf*wA	geçip gitmeğe
tnf*wn	geçemezsiniz
tnfE	faydası
tnfEhA	ona fayda vermez
tnfEhm	onlara fayda vermez
tnfEkm	size fayda vermez
tnfd	tükenmeden
tnfqwA	verseniz
tnfqwn	sadaka vermeye
tnfrwA	sefere çıkmayın
tnhY	men'eder
tnhrhmA	onları azarlama
tnhwn	size yasaklanan
tnjykm	sizi kurtaracak
tnjytm	aranızda gizli konuştuğunuz
tnkH	(kadın) nikahlanıncaya
tnkHwA	evlenmeyin
tnkHwhn	kendileriyle evlenmek
tnq*	kurtaracaksın
tnqDwA	bozmayın
tnqS	eksilttiğini
tnqSwA	eksik tutmayın
tnqm	öc almıyorsun
tnqmwn	hoşlanmıyorsunuz
tns	unutma
tnswA	unutmayın
tnth	vazgeçmezsen
tnthwA	vazgeçerseniz
tnyA	gevşeklik etmeyin
tnzE	koparıp deviriyordu
tnzEtm	anlaşmazlığa düşerseniz
tnzEwA	birbirinizle çekişmeyin
tnzl	indirmeni
tnzlt	indirmedi
tnzyl	indirilişi
tnzylA	(O) indirilmiştir
tq	sen korursan
tq$Er	ürperir
tqAsmwA	and içerek
tqAth	O'na yaraşır biçimde
tqDY	(istediğini) yapabilirsin
tqE	düşmesin
tqEd	oturma
tqEdwA	oturmayın
tqSS	anlatma
tqSrwA	kısaltmanızdan ötürü
tqTE	kesilmesi
tqYp	(gelebilecek) tehlikeden
tqbl	kabul buyur
tqblwA	kabul etmeyin
tqdm	geçmiş
tqdmwA	geçmeyin
tqdrwA	ele geçirmenizden
tqdyr	takdiridir
tqf	ardına düşme
tql	deme
tqlb	çevrildiği
tqlbhm	dönüp dolaşırlarken
tqm	durma
tqnTwA	umut kesmeyin
tqr	aydın olsun
tqrDhm	onları makaslayıp geçiyor
tqrDwA	borç verirseniz
tqrbA	yaklaş-
tqrbkm	sizi yaklaştıran
tqrbwA	yaklaşmayın
tqrbwhA	bunlara yaklaşmayın
tqrbwhn	onlara yaklaşmayın
tqsTwA	adaleti sağlayamıyacağınızdan
tqsmwA	yemin etmeyin
tqtl	çarpışıyordu
tqtlnY	beni öldürmek
tqtlwA	öldürmeyin
tqtlwh	onu öldürmeyin
tqtlwhm	onlarla savaşmayın
tqtlwn	öldürüyorsunuz
tqtlwnhm	onlarla savaşırsınız
tqwY	korku
tqwl	diyordun
tqwlh	onu uydurdu (mu?)
tqwln	deme
tqwlwA	demeyin
tqwlwn	söylüyor
tqwm	koptuğu
tqwmwA	kalkın
tqykm	sizi koruyan
tqymwA	uygulayıncaya
tr	görmedin mi
tr'A	birbirini görünce
trA't	birbirini görünce
trAD	rızalarıyla
trAb	toprak
trAbA	toprak
trDY	razı
trDYh	razı olacağın
trDYhA	hoşlanacağın
trDwA	anlaştıkları
trDwn	razı olduğunuz
trDwnhA	hoşlandığınız
trDytm	karşılıklı anlaşmanız
trY	gördüğü
trYhm	onları görürsün
trYnY	sen beni göremezsin
trbA	toprak
trbS	bekleme (hakkı) vardır
trbSwA	gözetleyin
trbSwn	gözetiyor musunuz?
trd	reddedilmesinden
trdn	istiyorsanız
trdwn	döndürüleceksiniz
trfE	yükseltilmesine
trfEwA	yükseltmeyin
trhbwn	korkutursunuz
trhqhA	onları bürümüş
trhqhm	onları kaplar
trhqnY	bana çıkarma
trjE	döndürülür
trjEwhn	onları geri döndürmeyin
trjEwn	döndürüleceğiniz
trjEwnhA	onu geri döndürsenize
trjY	geri bırakır
trjf	sarsar
trjwA	umuyor
trjwhA	umduğun
trjwn	ummuyorsunuz
trk	bıraktıysa
trkDwA	(boşuna) kaçmayın
trkn	yanaşacaktın
trknA	biz bırakmışızdır
trknhA	onu bıraktık
trknwA	meyletmeyin
trkt	terk ettim
trktm	bıraktığınızın
trktmwhA	onu bırakmanız
trkwA	bırakırlarsa
trmY	saçar
trmyhm	onlara atıyorlardı
trn	sen görüyorsun
trqY	çıkmalısın
trqb	tutmadın
trtAbwA	kuşkulanmamanız için
trtdwA	dönmeyin
trvwA	miras yoluyla almanız
trwA	görmediniz mi?
trwd	murad almak istemiş
trwhA	sizin görmediğiniz
trwn	görmüyor musunuz?
trwnhA	onu gördüğünüz
trwnhm	sizin onları göremeyeceğiniz
tryHwn	akşamleyin getirdiğiniz
tryd	isteyerek
trydwn	isteyerek
tryn	görürsen
trynY	mutlaka bana göstereceksen
trzqAnh	rızık olarak verilen
ts&hm	onları tasalandırır
ts&km	hoşunuza gitmeyecek
tsA'lwn	birbirinizden dilekte bulunduğunuz
tsE	dokuz
tsEp	dokuz
tsTE	senin güç yetiremediğin
ts_l	sen sorumlu
ts_lhm	sen istemiyorsun
ts_ln	benden isteme
ts_lnY	bana soru sorma
ts_lwA	sormayın
ts_lwn	sorulacak
ts_mwA	üşenmeyin
tsbH	tesbih ederler
tsbq	geçebilir
tsbwA	sövmeyin ki
tsbyHhm	onların tesbihlerini
tsfkwn	dökmeyeceksiniz
tsjd	secde etmekten
tsjdwA	secde etmeyin
tskn	oralarda oturulmadı
tsknwn	dinleneceğiniz
tsmE	dinlersin
tsmEwA	dinlemeyin
tsmY	adına denir
tsmyp	adlarını
tsqT	düşmez
tsqY	ve sulamaz
tsr	sevinç verir
tsrfwA	israf etmeyin
tsrwn	gizlediğiniz
tsryH	salıvermek
tst>nswA	izin almadan
tstEjl	acele etme
tstEjlwh	onu acele istemeyin
tstEjlwn	koşuyorsunuz
tstTE	güç yetiremediğin
tstTyE	gücün yetmez
tstTyEwA	ve yapamazsınız
tstTyEwn	gücünüz yetmez
tst_xrwn	geri kalmazsınız
tstft	bir şey sorma
tstftHwA	fetih istiyorsanız
tstgfr	af dilesen
tstgfrwn	mağfiret dilemeniz
tstgyvwn	siz yardım istiyordunuz
tstkbrwn	büyüklük taslamanızdan
tstqsmwA	ve kısmet (şans) aramanız
tstrDEwA	(sütannesi tutup) emzirtmek
tsttrwn	gizleniyor
tstwY	eşit
tstxfwnhA	kolayca kullanacağınız hafif
tswY	bir olmayı
tswrwA	tırmanmışlardı
tsxrwA	alay ederseniz
ttbE	uyma
ttbEAn	uymayın
ttbEhA	takip eder
ttbEn	neden bana uymadın?
ttbEwA	uyarak
ttbEwn	siz uyuyorsunuz
ttbEwnA	siz bizimle gelemezsiniz
ttbdlwA	değiştirmeyin
ttfkrwA	düşünün ki
ttfrqwA	ayrılığa düşmeyin
ttjAfY	uzaklaşır
ttkbr	büyüklük taslamak
ttlY	okunduğu
ttlwA	okuyan
ttlwn	okuduğunuz halde
ttmnwA	göz dikmeyin
ttnjwA	konuşmayın
ttnzl	iner
ttqlb	ters döneceği
ttqwA	korunmanız
ttqwn	kendinizi kurtaracaksınız
ttrA	ardı ardına
ttrkh	onu bıraksan
ttrkwA	bırakılacağınızı
ttwbA	ikiniz tevbe ederseniz
ttwfYhm	canlarını aldığı
ttwlwA	dönerseniz
ttx*	davranırsın
ttx*wA	edinin
ttx*wn	ediniyorsunuz
tvqfnhm	onları yakalarsan
tvryb	kınama
tvyr	sürmek için
twAEdtm	sözleşmiş olsaydınız dahi
twAEdwhn	sakın onlarla sözleşmeyin
twAb	tevbeyi çok kabul edendir
twAbA	affedici
twArt	(atlar) gizlendi
twEZwn	size öğütlenen
twEdwn	tehdit ederek
twSwn	yapacağınız
twSyp	bir vasiyete
twbp	tevbe ile
twbthm	onların tevbeleri
twbwA	tevbe edin
twd	ister
twfY	tastamam verilir
twfYhm	canlarını alırken
twfnY	beni öldür
twfth	onun canını alırlar
twfthm	canlarını alırken
twfwn	size eksiksiz verilecektir
twfyqY	bir başarım
twfytnY	sen beni vefat ettirince
twjh	yönelince
twjl	korkma
twklnA	güvendik
twklt	dayandım
twklwA	güvenin
twkydhA	pekiştirdikten
twl	biraz öteye çekil
twlAh	onu takibederse
twlY	döndüğü
twlj	sokarsın
twlwA	dönen
twlwhm	dost olmanızdan
twlwn	arkanızı dönüp
twlytm	döndünüz
twsws	fısıldadığını
tx$E	saygı duymasının
tx$Yh	çekinmene
tx$wA	korkmayın
tx$wh	kendisinden korkmanıza
tx$whm	onlardan korkmayın
tx$wn	korktuğunuz
txASm	tartışmasıdır
txAfA	korkmayın
txAfY	korkma
txAfn	korkarsan
txAft	pek de gizleme
txAfwA	korkmayın
txAfwhm	onlardan korkmayın
txAfwn	korkmadan
txAfwnhm	onlardan çekindiğiniz
txAlTwhm	onlara karışırsanız
txDEn	yumuşak bir eda yapmayın
txTbnY	bana yalvarma
txTh	onu yazmıyordun
txf	korkma
txfY	gizledikleri
txfwA	gizleseniz
txfwh	gizleseniz de
txfwhA	onları gizler
txfwn	gizlemiş
txfyf	bir hafifletme
txlf	caymazsın
txlfh	kurtulamayacaksın
txlq	yaratıyor
txlqwnh	onu yaratıyorsunuz
txrj	çıkan
txrjwA	çıkmayacaksınız
txrjwhn	onları çıkarmayın
txrjwn	çıkarmayacaksınız
txrq	yırtamazsın
txsrwA	eksiklik yapmayın
txtAnwn	yazık ediyorsunuz
txtSmwA	çekişmeyin
txtlfwn	ayrılığa düştünüğünüz
txwf	bir korku
txwnwA	hiyanet etmeyin
txznA	bizi rezil, perişan etme
txznY	beni utandırma
txzwn	beni rezil etmeyin
tymmwA	kalkışmayın
tysr	kolayınıza gelen
tzAl	daima
tzd	artırma
tzdAd	artırdığını
tzdrY	küçük gördükleri
tzg	eğriltme
tzkY	ma'nen arınıp yücelirse
tzkwA	övüp yüceltmeyin
tzr	çekmez
tzrEwn	siz (ürünü) ekin
tzrEwnh	onu bitiyorsunuz
tzwlA	yıkılmamaları için
tzwr	eğiliyor
tzydwnnY	bana bir katkınız
tzylwA	ayrılmış olsalardı
t{llh	Vallahi
t}bt	tevbe eden
vAbt	sabit
vAlv	üçüncüsüdür
vAnY	ikincisiydi
vAwyA	oturmuş
vEbAn	bir ejderha
vbAt	bölük bölük
vbtnk	biz seni sağlamlaştırmış
vbwrA	helâki
vbwthA	sağlam bastıktan
vlp	bir bölümü
vlv	üç
vlvA	üçte ikisi
vlvY	üçte ikisi-
vlvp	üç
vlvwn	otuz
vlvyn	otuz
vmnA	bedele
vmnY	sekiz
vmnyn	seksen
vmnyp	sekiz
vmr	ürünü
vmrh	meyvası-
vmrp	meyve
vmrt	meyvalar
vmwd	Semud
vmwdA	Semud (halkı)
vqAlA	ağır ağır
vqftmwhm	bulursanız
vqfwA	bulunsalar
vqlt	ağır gelirse
vwAb	sevabı
vwAbA	sevapça
vwb	cezalandılar-
vyAb	giysi
vyAbA	giysiler
vyAbhm	örtülerini
vyAbhn	dış örtülerini
vyAbkm	elbisenizi
vybt	dul
w$Ahd	ve şahide andolsun
w$AqwA	ve incitenler
w$Arkhm	ve onlara ortak ol
w$Awrhm	ve onlara danış
w$Y'	ve içinde
w$ddnA	güçlendirmiştik
w$fA'	ve bir şifa
w$hd	ve görüp
w$hdwA	ve gördükten
w$jrp	ve bir ağaç
w$mAl	ve soldan
w$rAbk	ve içeceğine
w$rkA&km	ve ortak koştuklarınız
w$rkA'km	ortaklarınızla
w$rwh	ve onu sattılar
w$ybp	ve ihtiyarlık
w'AbA&km	ve atalarınız
w'AbA&nA	ve atalarımıza
w'AbA'hm	ve atalarını
w'Al	ve ailesini
w'Alhtk	ve tanrılarını
w'Amn	ve inanan
w'Amnhm	ve onları güvene kavuşturdu
w'Amntm	ve inanırsanız
w'AmnwA	ve inanın
w'At	ve ver
w'AtY	ve veren
w'AtYh	ve ona (Davud'a) verdi
w'AtYhm	ve onlara vermiştir
w'AtYkm	ve size verdi
w'AtYnY	ve bana vermişse
w'AtnA	ve bize ver
w'Att	ve verdi
w'AtwA	ve verin
w'Atwhm	ve onlara verin
w'Atwhn	ve verin
w'Atyn	ve verin
w'AtynA	ve verdik
w'Atynh	ve ona verdik
w'Atynhm	ve onlara verdik
w'AtynhmA	ve onlara verdik
w'Atytm	ve verirseniz
w'AvArA	ve eserleri bakımından
w'Avr	ve yeğlemişse
w'Avrhm	ve eserlerini
w'AwynhmA	ve onları yerleştirdik
w'Axr	diğer
w'AxrnA	ve sonramız için
w'Axrwn	ve başka kimseler
w'Axryn	ve başkalarını
w'Ayp	ve bir ayet
w'Ayth	ve O'nun ayetleriyle
w*kr	ve anan
w*krA	ve bir öğüt
w*krY	ve öğüt
w*krhm	ve onlara hatırlatması için
w*krwA	ve ananlar
w*llnhA	onları boyun eğdirdik
w*llt	ve eğdirilmiştir
w*lp	ve bir alçaklık
w*r	ve bırak
w*rnY	beni yalnız bırak
w*rwA	ve bırakın
w*ryp	ve çocuklar
w*ryth	ve onun neslini
w*rythA	ve soyunu
w*rythm	ve çocuklarından
w*rytnA	ve çocuklarımızı
w*wqwA	ve tadın
w<brhym	ve İbrahim'i
w<dbr	ve ardından
w<drys	İdris'i
w<lh	ve tanrısına
w<lhkm	Tanrınız
w<lyAs	ve İlyas'a
w<mA}km	ve cariyeleriniz(den)
w<nvA	ve dişiler
w<qAm	ve kılmayı
w<rSAdA	ve gözetlemek (için)
w<sHq	ve İshak
w<smEyl	ve İsma'il
w<sr'yl	ve İsrail (Ya'kub)
w<srAfnA	ve taşkınlığımızı
w<vmA	ve bir günah
w<vmhmA	fakat onların günahı
w<vmk	ve kendi günahını
w<xrAj	sürüp çıkarmak
w<xwn	ve kardeşleri
w<xwnhm	kardeşleri ise
w<xwnkm	ve kardeşleriniz
w<xwth	ve kardeşlerinde
w<ytA'	ve vermeyi
w<ytA}	ve vermeyi
w>$EArhA	ve kıllarından
w>$d	ve daha sağlam
w>$fqn	ve korktular
w>$hdhm	ve şahid tutmuştu
w>$hdwA	ve şahid tutun
w>$rbwA	ve içirildi
w>$rk	ve ortak koşmağa
w>$rkh	ve onu ortak yap
w>$rqt	ve parlar
w>*n	ve ilan et
w>*nt	ve dinlediği (zaman)
w>DEf	ve daha zayıftır
w>Dl	ve saptırdı
w>Dlh	ve saptırdığı
w>Dlhm	ve onları saptırdı
w>DlwA	ve saptırmış
w>EAnh	ve yardım etti
w>ETY	ve vereni
w>EZm	ve daha büyüktür
w>Ed	ve hazırlamıştır
w>EdwA	hazırlayın
w>Elm	ve bilirim
w>EmY	ve kör ettiği
w>EnAb	ve üzümler(den)
w>Enb	ve üzüm
w>ErD	yüz çevir
w>EtdnA	ve hazırladık
w>Etdt	ve hazırladı
w>Etzlkm	sizden ayrılıyorum
w>Ew*	ve sığınırım
w>Eynhm	ve gözlerinden
w>Ez	ve güçlüyüm
w>HAT	ve kuşatmıştır
w>HDrt	ve hazırdır
w>HSY	ve saymıştır
w>HSwA	ve sayın
w>HTt	ve kuşatmış olursa
w>HY	ve diriltirim
w>Hb&h	ve sevgilileriyiz
w>Hl	ve helal kılındı
w>Hlt	ve size helal kılınmıştır
w>HlwA	ve konduranları
w>Hsn	ve en güzel
w>HsnwA	ve iyilik edin
w>HyT	derken yok edildi
w>HyynA	ve can verdik
w>HyytnA	ve dirilttin
w>SAbh	ve kendisine geldiğinde
w>SHb	ve halkı
w>SbH	ve sabahladı
w>SfYkm	ve size seçti
w>SlH	ve uslanan
w>SlHA	ve uslanırlarsa
w>SlHnA	ve ıslah ettik
w>SlHwA	uslananlar
w>SrwA	ve direttiler
w>TEmwA	ve yedirin
w>TEn	ve ita'at edin
w>TEnA	ve ita'at ettik
w>Thr	ve daha temizdir
w>TrAf	ve taraflarında
w>TyEwA	ita'at edin
w>Zhrh	ve onu muttali kıldı
w>b$rwA	fakat sevinin
w>bSr	ne güzel görürler
w>bSrA	ve gözler
w>bSrhm	ve gözleri
w>bSrkm	ve gözlerinizi
w>blgkm	ve ben size tebliğ ediyorum
w>bnA&km	ve oğullarınız
w>bnA'km	ve oğullarınızı
w>bnA}nA	ve oğullarımız(ın arasın)dan
w>bqY	ve daha kalıcıdır
w>br}	ve iyileştiririm
w>bwnA	ve babamız da
w>dA'	ve (diyeti) ödemelidir
w>dEwA	ve yalnız yalvarıyorum
w>dbr	ve arkalarında
w>dbrhm	ve kıçlarına
w>dnY	ve daha elverişlidir
w>dxl	ve sok
w>dxlhm	ve onları sok
w>dxlnA	ve bizi sok
w>dxlnY	ve beni sok
w>dxlnh	ve onu soktuk
w>dxlnhm	ve onları soktuk
w>f_dp	ve gönüller
w>f_dthm	ve yüreklerinin içi de
w>fwD	ve bırakıyorum
w>gT$	örtüp kararttı
w>gllA	ve demir halkalar
w>grqnA	ve boğduk
w>h$	ve yaprak silkeliyorum
w>hdyk	ve seni ileteyim
w>hl	ve ehli
w>hlY	ve ailemi
w>hlh	ve ailesini
w>hlhA	halkı
w>hlk	ve aileni
w>hlknA	ve helak ettik
w>hlnA	ve çocuklarımıza
w>hlwnA	ve çocuklarımız
w>hlyhm	ve ailelerini
w>hlykm	ve ailenizi
w>jdr	ve daha müsaittirler
w>jl	ve bir süre
w>jlb	ve yaygarayı bas
w>jmEwA	ve karar verdiler
w>jr	ve ecir
w>jrA	ve mükafat
w>kbr	ve daha büyüktür
w>klhm	ve yemede
w>kn	ve olurum
w>kvr	ve daha çok
w>kvrhm	ama çokları
w>kwAb	ve kupalar
w>kyd	ben de kuruyorum
w>lHqnY	ve beni kat
w>lf	ve uzlaştırdı
w>lfyA	ve rastladılar
w>lnA	ve yumuşattık
w>lq	ve at
w>lqY	ve attı
w>lqt	dışarı atıp
w>lqwA	ve olurlar
w>lqwh	onu atın
w>lqynA	ve attık
w>lqyt	ve koydum
w>lsnthm	ve dillerini
w>lwnkm	ve renklerinizin
w>lzmhm	ve onları bağladı
w>mTrnA	ve yağdırdık
w>mY	ve annemi
w>mddnhm	ve onlara bol bol verdik
w>mddnkm	ve sizi destekledik
w>mh	ve annesini
w>mht	ve anaları
w>mhtkm	ve analarınız
w>mlY	mühlet veriyorum
w>mm	ve (bazı) ümmetlere
w>mnA	ve güven yeri
w>mr	emret
w>mrh	ve işi de
w>mrhm	ve işleri
w>mrnA	ve bize emredilmiştir
w>mrt	ve emrolundum
w>mrwA	ve emrederler
w>mtEtkm	ve eşyanızdan
w>mwl	ve mallar
w>mwlA	ve mallar
w>mwlhm	ve mallarını
w>myt	ve öldürürüm
w>n$>nA	ve yarattık
w>n*r	ve uyar
w>n*rhm	onları uyar
w>nAbwA	ve yönelenlere
w>nAsY	ve insanlardan
w>nEm	ve hayvanlar
w>nEmt	ve senin ni'met verdiğin
w>nSH	ve öğüt veriyorum
w>nStwA	ve susun
w>nY	ama nasıl olur?
w>nbthA	ve onu yetiştirdi
w>nbtnA	ve bitirdik
w>nbtt	ve bitirir
w>nb}km	ve size haber veririm
w>nfqwA	infak edin
w>nfshm	canlariyle
w>nfskm	ve kendinizi
w>nfsnA	ve kendimizi
w>nhr	ve ırmakları
w>nhrA	ve ırmaklar
w>njynA	ve kurtardık
w>nkHwA	ve evlendirin
w>nvY	ve bir kadın(dan)
w>nybwA	ve dönün
w>nzl	ve indirdi
w>nzlnA	ve indirdik
w>qAm	ve kılan
w>qAmwA	ve kılanlar
w>qbl	ve döner
w>qblwA	dönerek
w>ql	ve daha azdır
w>qm	ve kıl
w>qmn	ve kılın
w>qrDtm	ve borç verirseniz
w>qrDwA	ve borç verin
w>qrb	ve daha yakınını
w>qsTwA	ve daima adil olun
w>qsmwA	ve yemin ettiler
w>qwm	ve daha sağlam
w>qymwA	ve kılın
w>rAdwA	ve istediler
w>rD	ve yeri
w>rDA	ve bir toprağı
w>rjlhm	ve ayakları
w>rjlhn	ve ayakları
w>rjlkm	ve ayaklarınızı
w>rnA	ve bize göster
w>rsl	ve gönder
w>rslnA	ve gönderdik
w>rslnh	ve onu elçi gönderdik
w>rslnk	ve seni gönderdik
w>sbg	ve bol bol verdi
w>slHthm	ve silahlarını da
w>slmt	ve teslim oldum
w>slmwA	ve teslim olun
w>slnA	ve akıttık
w>smE	ne güzel işitendir
w>sqynkm	ve size içirmedik mi?
w>srHkn	ve sizi salayım
w>srrt	ve gizli söyledim
w>srwA	gizleyin
w>srwh	ve onu sakladılar
w>tYhm	ve onlara gelmişti
w>tbEnhm	ve onların ardına taktık
w>tbEwA	ve uğradılar
w>tmmnhA	ve buna kattık
w>tmmt	ve tamamladım
w>tmrwA	ve konuşup anlaşın
w>tmwA	ve tamamlayın
w>trfnhm	ve kendilerine refah verdiklerimiz
w>twA	ve girin
w>twnY	ve bana gelin
w>tynk	ve sana getirdik
w>vArwA	alt-üst etmişlerdi
w>vbhm	ve onlara verdi
w>vl	ve acı meyvalı
w>vqAlA	ve (başka) yükleri
w>w*wA	ve işkence edilenler
w>wHY	vahyolundu
w>wHynA	vahyettik
w>wSnY	ve bana emretti
w>wbArhA	ve yapağılarından
w>wfwA	ve tutun
w>wjs	ve içine düştü
w>wlY	ve sahibine
w>wldA	ve evladça
w>wldhm	ve evladları
w>wldkm	ve çocuklarınız
w>wlt	ve olanların
w>wlwA	ve sahipleri
w>wrvkm	ve size miras verdi
w>wrvnA	ve miras kıldık
w>wrvnhA	bunları miras yaptık
w>wtynA	ve bize verildi
